Transaction_ID,Customer_ID,Product_ID,Product_Name,Date,Unit_Price,Category,Date_year,Date_month,Date_day,Predicted_Price
af94a71a-243a-45e6-8585-da6650d5ba39,5524,9,Whole Wheat Pasta,2012-09-04,63.15,Pantry,2012,9,4,44.49450544279395
24fcb15f-4433-438f-b175-3afc899cfb34,5524,3,Organic Eggs (12),2012-09-16,55.7,Dairy,2012,9,16,43.5116028258162
3b57ff93-d720-4125-b645-e217dccd152a,5524,3,Organic Eggs (12),2012-09-28,77.13,Dairy,2012,9,28,43.56257185557867
ec31f781-fe7d-4c8a-8593-cb5412ada758,5524,8,Almond Milk,2012-10-10,70.93,Dairy Alternatives,2012,10,10,44.349876818770625
3f22f526-10e2-45a2-b4d0-e427166e7698,5524,2,Brown Bread,2012-10-23,56.78,Bakery,2012,10,23,44.521595710502666
4cb96e99-cecc-4086-9069-258f548ce6a7,5524,3,Organic Eggs (12),2012-11-04,72.55,Dairy,2012,11,4,43.13568674516031
eb7a430e-5eae-406a-b5ef-3c8d0bab1137,5524,1,Fresh Milk,2012-11-16,55.2,Dairy,2012,11,16,43.18665577492277
37da9fed-1c39-4eb5-adb6-1fdf37d98bc7,5524,2,Brown Bread,2012-11-28,75.85,Bakery,2012,11,28,44.38035928079031
cc820e3a-b452-4f33-a390-899d7b9a3237,5524,7,Greek Yogurt,2012-12-11,67.29,Dairy,2012,12,11,43.00294515374169
5ae4e2dd-d0d5-49b1-9ff7-9931019a88d0,5524,6,Cheddar Cheese,2012-12-23,76.76,Dairy,2012,12,23,43.053914183504155
130518fe-882f-498a-baa0-0ece78874218,5524,8,Almond Milk,2013-01-04,69.48,Dairy Alternatives,2013,1,4,43.29366795002577
7e957d2b-ecdc-4067-983c-fde3bb17d644,5524,5,Chicken Breast,2013-01-17,66.99,Meat,2013,1,17,42.07160257239455
28b5202c-695b-4fd1-8750-a85072936679,5524,5,Chicken Breast,2013-01-29,76.41,Meat,2013,1,29,42.12257160215702
e2f5c781-c409-4c67-a60d-13a4f411475d,5524,7,Greek Yogurt,2013-02-10,72.76,Dairy,2013,2,10,42.130446906177916
da3fc365-c924-4bb1-9955-f0d25ea9d797,5524,4,Avocado,2013-02-22,68.98,Produce,2013,2,22,41.93149184294957
3f68bc7c-f704-428b-a9e3-b48c419f93a4,5524,5,Chicken Breast,2013-03-07,53.06,Meat,2013,3,7,41.704181330032405
22193f1b-ab90-445e-88e7-d4b0ffff5121,5524,9,Whole Wheat Pasta,2013-03-19,71.41,Pantry,2013,3,19,43.04007179979326
19e23990-4520-4d88-806a-89134413ed8c,5524,1,Fresh Milk,2013-03-31,72.22,Dairy,2013,3,31,42.057169182815514
879d5f2e-76a4-4fd2-a059-a025f255daef,5524,3,Organic Eggs (12),2013-04-13,60.1,Dairy,2013,4,13,41.8182421127251
9a4b8088-e5ed-4fbd-a706-73312551905d,5524,8,Almond Milk,2013-04-25,63.08,Dairy Alternatives,2013,4,25,42.895443175769934
a32c31f4-3173-4411-86aa-ec4f4759ae7c,5524,6,Cheddar Cheese,2013-05-07,70.92,Dairy,2013,5,7,41.63028407239715
7286a545-f4cc-4ec8-a269-63a834cf67e7,5524,6,Cheddar Cheese,2013-05-19,69.86,Dairy,2013,5,19,41.681253102159616
27503be8-1c36-4d45-aa12-a290517f43ff,5524,3,Organic Eggs (12),2013-06-01,66.81,Dairy,2013,6,1,41.442326032069204
d053a32a-5ca8-4542-b426-c8aa36c7de15,5524,1,Fresh Milk,2013-06-13,59.43,Dairy,2013,6,13,41.49329506183167
a59aa689-1a4a-4180-8d18-fbb6d9051c03,5524,7,Greek Yogurt,2013-06-25,69.16,Dairy,2013,6,25,41.54426409159413
53381ed9-1126-4f23-92fc-424f512cb411,2174,9,Whole Wheat Pasta,2014-03-08,3.64,Pantry,2014,3,8,40.5003641062936
0b997cb8-840d-4d35-b71c-07d042c7361b,2174,9,Whole Wheat Pasta,2014-05-01,4.1,Pantry,2014,5,1,40.14568512137207
ad690a18-ec1b-4fb9-a4f2-3151e29292dc,2174,9,Whole Wheat Pasta,2014-06-25,4.43,Pantry,2014,6,25,40.08514965545028
55f84754-64ba-4c2f-8992-fefb73640a20,2174,6,Cheddar Cheese,2014-08-18,3.93,Dairy,2014,8,18,38.69659902378853
026859a3-678c-4ebd-9c4f-cdbc1bbf9c10,2174,3,Organic Eggs (12),2014-10-12,4.88,Dairy,2014,10,12,38.346167458013866
9df777ad-4843-42f9-aa2f-e3b11fdf6061,2174,3,Organic Eggs (12),2014-12-05,4.6,Dairy,2014,12,5,37.99148847309233
93972de7-e72f-4eaf-a93e-280fb62b03d7,4141,4,Avocado,2013-08-21,43.68,Produce,2013,8,21,40.9524032711224
e33e4156-6950-4b5f-8d08-fe6efe2729e4,4141,9,Whole Wheat Pasta,2013-09-06,35.07,Pantry,2013,9,6,42.01001419820363
f171ecfd-1bc7-409f-9b3c-3507da98fcf3,4141,1,Fresh Milk,2013-09-22,33.82,Dairy,2013,9,22,41.04410125781337
dbf050f4-8cfc-45c2-a36e-0f7ca7784542,4141,8,Almond Milk,2013-10-08,43.27,Dairy Alternatives,2013,10,8,41.848395897592816
184aab57-1eee-4c40-9bea-a45e18079d2a,4141,6,Cheddar Cheese,2013-10-24,31.42,Dairy,2013,10,24,40.890122570660395
acf02796-dc04-4e20-b3f4-70c3778c0053,4141,6,Cheddar Cheese,2013-11-09,41.54,Dairy,2013,11,9,40.6639377580106
8448e23a-d729-46db-8b13-f3a3cefa4526,4141,2,Brown Bread,2013-11-25,41.99,Bakery,2013,11,25,41.87463094046563
d27bd5bf-bbe6-4034-88c0-f09810760334,4141,3,Organic Eggs (12),2013-12-12,34.86,Dairy,2013,12,12,40.5142064900045
